%time,field.header.seq,field.header.stamp,field.header.frame_id,field.copx,field.copy
1374680237534534535,741252,1374680237534534535,,-0.00597993129584,-0.0118012395409
1374680237534539983,741253,1374680237534539983,,-0.00591552118247,-0.011783215748
1374680237534545640,741254,1374680237534545640,,-0.00583249051116,-0.0118002105912
1374680237534551158,741255,1374680237534551158,,-0.00597993129584,-0.0118012395409
1374680237534557024,741256,1374680237534557024,,-0.0057607010367,-0.011917560579
1374680237534562472,741257,1374680237534562472,,-0.00569558273811,-0.0118996261313
1374680237534738053,741258,1374680237534738053,,-0.00585090340576,-0.0117651338449
1374680237534745107,741259,1374680237534745107,,-0.00585090340576,-0.0117651338449
1374680237534751532,741260,1374680237534751532,,-0.00585090340576,-0.0117651338449
1374680237534757120,741261,1374680237534757120,,-0.00585090340576,-0.0117651338449
1374680237534762777,741262,1374680237534762777,,-0.0057860769598,-0.0117469935502
1374680237534768434,741263,1374680237534768434,,-0.00570299462099,-0.0117641036301
1374680237534921316,741264,1374680237534921316,,-0.0057860769598,-0.0117469935502
1374680237535650459,741265,1374680237535650459,,-0.00570299462099,-0.0117641036301
1374680237535976059,741266,1374680237535976059,,-0.00570299462099,-0.0117641036301
1374680237536569710,741267,1374680237536569710,,-0.00572104083219,-0.0117287945806
1374680237537185920,741268,1374680237537185920,,-0.00572104083219,-0.0117287945806
1374680237537770142,741269,1374680237537770142,,-0.00572104083219,-0.0117287945806
1374680237538723406,741270,1374680237538723406,,-0.00563793305938,-0.0117459627049
1374680237539338358,741271,1374680237539338358,,-0.00563793305938,-0.0117459627049
1374680237539956104,741272,1374680237539956104,,-0.00563793305938,-0.0117459627049
1374680237540860060,741273,1374680237540860060,,-0.00572104083219,-0.0117287945806
1374680237541504555,741274,1374680237541504555,,-0.00565579400395,-0.0117105366509
1374680237542099044,741275,1374680237542099044,,-0.00557266106762,-0.0117277631059
1374680237543031076,741276,1374680237543031076,,-0.00557266106762,-0.0117277631059
1374680237543646238,741277,1374680237543646238,,-0.00584559309306,-0.0118393882639
1374680237544241006,741278,1374680237544241006,,-0.00559033544949,-0.0116922194742
1374680237545179953,741279,1374680237545179953,,-0.00559033544949,-0.0116922194742
1374680237545803496,741280,1374680237545803496,,-0.00544148169684,-0.0116911867449
1374680237546386181,741281,1374680237546386181,,-0.00537557225274,-0.0116728094071
1374680237547044715,741282,1374680237547044715,,-0.00530040361651,-0.0117907885326
1374680237547956004,741283,1374680237547956004,,-0.00537557225274,-0.0116728094071
1374680237548568512,741284,1374680237548568512,,-0.00556490513133,-0.011801929327
1374680237549199388,741285,1374680237549199388,,-0.00537557225274,-0.0116728094071
1374680237550108652,741286,1374680237550108652,,-0.00556490513133,-0.011801929327
1374680237550723255,741287,1374680237550723255,,-0.00564875179035,-0.0117846777222
1374680237551352665,741288,1374680237551352665,,-0.00521713982378,-0.0118080309404
1374680237552262417,741289,1374680237552262417,,-0.00540660403507,-0.0119381769006
1374680237552879116,741290,1374680237552879116,,-0.00544148169684,-0.0116911867449
1374680237553493509,741291,1374680237553493509,,-0.00537557225274,-0.0116728094071
1374680237554417649,741292,1374680237554417649,,-0.00563075854522,-0.0118201667315
1374680237555032462,741293,1374680237555032462,,-0.00544148169684,-0.0116911867449
1374680237555647973,741294,1374680237555647973,,-0.00563075854522,-0.0118201667315
1374680237556573300,741295,1374680237556573300,,-0.00544148169684,-0.0116911867449
1374680237557185948,741296,1374680237557185948,,-0.0055391266121,-0.0119742897034
1374680237557802088,741297,1374680237557802088,,-0.00557266106762,-0.0117277631059
1374680237558730627,741298,1374680237558730627,,-0.00569639780747,-0.011838344829
1374680237559339224,741299,1374680237559339224,,-0.00576182396102,-0.0118564639083
1374680237559954037,741300,1374680237559954037,,-0.005827038042,-0.0118745242564
1374680237560861066,741301,1374680237560861066,,-0.005827038042,-0.0118745242564
1374680237561502488,741302,1374680237561502488,,-0.005827038042,-0.0118745242564
1374680237562108291,741303,1374680237562108291,,-0.005827038042,-0.0118745242564
1374680237563032641,741304,1374680237563032641,,-0.00589204107987,-0.0118925261583
1374680237563421587,741305,1374680237563421587,,-0.005827038042,-0.0118745242564
1374680237564275536,741306,1374680237564275536,,-0.00589204107987,-0.0118925261583
1374680237565185777,741307,1374680237565185777,,-0.00589204107987,-0.0118925261583
1374680237565808762,741308,1374680237565808762,,-0.00595683409744,-0.0119104698974
1374680237566418546,741309,1374680237566418546,,-0.0060214181109,-0.0119283557549
1374680237567339682,741310,1374680237567339682,,-0.00580159277887,-0.0120458125272
1374680237567721575,741311,1374680237567721575,,-0.00580159277887,-0.0120458125272
1374680237568574267,741312,1374680237568574267,,-0.0060214181109,-0.0119283557549
1374680237569198368,741313,1374680237569198368,,-0.0061499631576,-0.0119639549423
1374680237569876038,741314,1374680237569876038,,-0.0061499631576,-0.0119639549423
1374680237570719861,741315,1374680237570719861,,-0.00621392619074,-0.0119816688259
1374680237571364705,741316,1374680237571364705,,-0.00627768421963,-0.0119993259358
1374680237572262655,741317,1374680237572262655,,-0.00634123822828,-0.0120169265445
1374680237572897931,741318,1374680237572897931,,-0.00640458919439,-0.0120344709226
1374680237573816483,741319,1374680237573816483,,-0.00646773808943,-0.0120519593394
1374680237574418096,741320,1374680237574418096,,-0.00646773808943,-0.0120519593394
1374680237575033887,741321,1374680237575033887,,-0.00646773808943,-0.0120519593394
1374680237575657988,741322,1374680237575657988,,-0.00646773808943,-0.0120519593394
1374680237576567950,741323,1374680237576567950,,-0.00653068587869,-0.012069392062
1374680237577186465,741324,1374680237577186465,,-0.00653068587869,-0.012069392062
1374680237577813570,741325,1374680237577813570,,-0.00637987053058,-0.0122033949624
1374680237578723811,741326,1374680237578723811,,-0.00653068587869,-0.012069392062
1374680237579340300,741327,1374680237579340300,,-0.0066576499691,-0.0121800980642
1374680237579969849,741328,1374680237579969849,,-0.00672053071897,-0.0121973914782
1374680237580858998,741329,1374680237580858998,,-0.00653068587869,-0.012069392062
1374680237581492459,741330,1374680237581492459,,-0.00672053071897,-0.0121973914782
1374680237582112789,741331,1374680237582112789,,-0.00653068587869,-0.012069392062
1374680237583032669,741332,1374680237583032669,,-0.00656987472909,-0.0123323907018
1374680237583956040,741333,1374680237583956040,,-0.00672053071897,-0.0121973914782
1374680237584257056,741334,1374680237584257056,,-0.00646773808943,-0.0120519593394
1374680237585186853,741335,1374680237585186853,,-0.00653068587869,-0.012069392062
1374680237585802644,741336,1374680237585802644,,-0.00646773808943,-0.0120519593394
1374680237586384212,741337,1374680237586384212,,-0.00640458919439,-0.0120344709226
1374680237587341107,741338,1374680237587341107,,-0.00640458919439,-0.0120344709226
1374680237587960879,741339,1374680237587960879,,-0.00646773808943,-0.0120519593394
1374680237588869444,741340,1374680237588869444,,-0.00640458919439,-0.0120344709226
1374680237589196371,741341,1374680237589196371,,-0.00650651030822,-0.0123152477969
1374680237590108079,741342,1374680237590108079,,-0.00640458919439,-0.0120344709226
1374680237590737279,741343,1374680237590737279,,-0.0062528068034,-0.0121687697127
1374680237591352651,741344,1374680237591352651,,-0.00640458919439,-0.0120344709226
1374680237592267641,741345,1374680237592267641,,-0.00640458919439,-0.0120344709226
1374680237592861641,741346,1374680237592861641,,-0.00634123822828,-0.0120169265445
1374680237593493495,741347,1374680237593493495,,-0.00618896882416,-0.0121513736704
1374680237594425248,741348,1374680237594425248,,-0.00627768421963,-0.0119993259358
1374680237595045788,741349,1374680237595045788,,-0.00627768421963,-0.0119993259358
1374680237595955121,741350,1374680237595955121,,-0.00627768421963,-0.0119993259358
1374680237596580340,741351,1374680237596580340,,-0.00621392619074,-0.0119816688259
1374680237597191521,741352,1374680237597191521,,-0.00599621856713,-0.0120988486428
1374680237597813877,741353,1374680237597813877,,-0.0061499631576,-0.0119639549423
1374680237601802093,741354,1374680237601802093,,-0.0060857941299,-0.0119461840106
1374680237601808519,741355,1374680237601808519,,-0.0060857941299,-0.0119461840106
1374680237601813966,741356,1374680237601813966,,-0.0060857941299,-0.0119461840106
1374680237601819554,741357,1374680237601819554,,-0.0060857941299,-0.0119461840106
1374680237601825001,741358,1374680237601825001,,-0.0060214181109,-0.0119283557549
1374680237602167573,741359,1374680237602167573,,-0.00580159277887,-0.0120458125272
1374680237603032976,741360,1374680237603032976,,-0.00595683409744,-0.0119104698974
1374680237603641713,741361,1374680237603641713,,-0.00595683409744,-0.0119104698974
1374680237604243884,741362,1374680237604243884,,-0.00589204107987,-0.0118925261583
1374680237605186392,741363,1374680237605186392,,-0.005827038042,-0.0118745242564
1374680237605800856,741364,1374680237605800856,,-0.00567078672935,-0.0120101674833
1374680237606384659,741365,1374680237606384659,,-0.00576182396102,-0.0118564639083
1374680237607046056,741366,1374680237607046056,,-0.00576182396102,-0.0118564639083
1374680237607954900,741367,1374680237607954900,,-0.00576182396102,-0.0118564639083
1374680237608571110,741368,1374680237608571110,,-0.00576182396102,-0.0118564639083
1374680237609198005,741369,1374680237609198005,,-0.00569639780747,-0.011838344829
1374680237610109364,741370,1374680237610109364,,-0.00563075854522,-0.0118201667315
1374680237610722990,741371,1374680237610722990,,-0.00563075854522,-0.0118201667315
1374680237611341294,741372,1374680237611341294,,-0.00563075854522,-0.0118201667315
1374680237612263269,741373,1374680237612263269,,-0.00556490513133,-0.011801929327
1374680237612861669,741374,1374680237612861669,,-0.00556490513133,-0.011801929327
1374680237613802222,741375,1374680237613802222,,-0.00540660403507,-0.0119381769006
1374680237614417873,741376,1374680237614417873,,-0.00530944824827,-0.0116543722439
1374680237615043511,741377,1374680237615043511,,-0.00549883651607,-0.0117836323247
1374680237615650082,741378,1374680237615650082,,-0.0053400166715,-0.0119200316427
1374680237616569194,741379,1374680237616569194,,-0.00549883651607,-0.0117836323247
1374680237617160819,741380,1374680237617160819,,-0.00515049863258,-0.0117897427148
1374680237617800216,741381,1374680237617800216,,-0.00530944824827,-0.0116543722439
1374680237618732527,741382,1374680237618732527,,-0.00530944824827,-0.0116543722439
1374680237619338540,741383,1374680237619338540,,-0.00549883651607,-0.0117836323247
1374680237619966762,741384,1374680237619966762,,-0.00537557225274,-0.0116728094071
1374680237620859404,741385,1374680237620859404,,-0.0053400166715,-0.0119200316427
1374680237621507950,741386,1374680237621507950,,-0.00530944824827,-0.0116543722439
1374680237622117524,741387,1374680237622117524,,-0.00540660403507,-0.0119381769006
1374680237622760902,741388,1374680237622760902,,-0.00556490513133,-0.011801929327
1374680237623657175,741389,1374680237623657175,,-0.00537557225274,-0.0116728094071
1374680237625192636,741390,1374680237625192636,,-0.00556490513133,-0.011801929327
1374680237625198992,741391,1374680237625198992,,-0.00515049863258,-0.0117897427148
1374680237625808217,741392,1374680237625808217,,-0.00530944824827,-0.0116543722439
1374680237626497132,741393,1374680237626497132,,-0.0052563700199,-0.0119371203196
1374680237627031208,741394,1374680237627031208,,-0.00549883651607,-0.0117836323247
1374680237627954370,741395,1374680237627954370,,-0.00549883651607,-0.0117836323247
1374680237628581894,741396,1374680237628581894,,-0.00556490513133,-0.011801929327
