%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed_g_static,field.speed_wanted0,field.speed_wanted1,field.speed_wanted2,field.speed_wanted3,field.speed_wanted4,field.speed_wanted5,field.speed_wanted6,field.speed_wanted7,field.speed_wanted8,field.speed_wanted9,field.speed_wanted10,field.speed_wanted11,field.speed_wanted12,field.joint_now0,field.joint_now1,field.joint_now2,field.joint_now3,field.joint_now4,field.joint_now5,field.joint_now6,field.joint_now7,field.joint_now8,field.joint_now9,field.joint_now10,field.joint_now11,field.joint_now12,field.joint_wanted0,field.joint_wanted1,field.joint_wanted2,field.joint_wanted3,field.joint_wanted4,field.joint_wanted5,field.joint_wanted6,field.joint_wanted7,field.joint_wanted8,field.joint_wanted9,field.joint_wanted10,field.joint_wanted11,field.joint_wanted12
1374680229275375821,22096,1374680229275375821,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.1777777778,20.2444444444,19.7722222222,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229370493357,22097,1374680229370493357,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.1,19.7722222222,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229466476925,22098,1374680229466476925,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229574932399,22099,1374680229574932399,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229670477224,22100,1374680229670477224,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229770077872,22101,1374680229770077872,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229867340722,22102,1374680229867340722,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.3888888889,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680229971057046,22103,1374680229971057046,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230075338177,22104,1374680230075338177,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230181939435,22105,1374680230181939435,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230278877593,22106,1374680230278877593,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.3888888889,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230375487637,22107,1374680230375487637,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.2777777778,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230475427923,22108,1374680230475427923,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.4,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230574590875,22109,1374680230574590875,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1374680230682703918,22110,1374680230682703918,,20,50,50,50,50,50,50,50,50,50,50,50,50,-32768,0.1,-0.0666666666667,10.3555555556,10.2222222222,20.2444444444,20.1333333333,0.0,-0.55,14.6,14.8,0.4,96.0,3.7187924981e+227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
